date_inscription,date_realisation,proposition_cours,participant,duree,etat
2014-06-03      ,2014-06-04      ,423              ,1040       ,2    ,1
2014-11-25      ,2014-11-26      ,424              ,1029       ,3    ,1
2017-01-26      ,2017-01-27      ,425              ,1061       ,2    ,1
2015-12-08      ,2015-12-09      ,426              ,1073       ,1    ,1
2016-06-16      ,2016-06-17      ,427              ,1095       ,2    ,1
2016-12-28      ,2016-12-29      ,428              ,1009       ,1    ,1
2016-02-01      ,2016-02-02      ,429              ,1083       ,1    ,1
2015-02-24      ,2015-02-25      ,430              ,1065       ,3    ,1
2016-11-11      ,2016-11-12      ,431              ,1099       ,3    ,1
2016-07-24      ,2016-07-25      ,432              ,1013       ,2    ,1
2014-10-10      ,2014-10-11      ,433              ,1001       ,2    ,1
2016-09-27      ,2016-09-28      ,434              ,1070       ,1    ,1
2015-11-03      ,2015-11-04      ,435              ,1028       ,3    ,1
2015-02-10      ,2015-02-11      ,436              ,1067       ,1    ,1
2016-05-18      ,2016-05-19      ,437              ,1091       ,2    ,1
2015-09-04      ,2015-09-05      ,438              ,1014       ,2    ,1
2014-05-30      ,2014-05-31      ,439              ,1088       ,3    ,1
2016-09-29      ,2016-09-30      ,440              ,1055       ,1    ,1
2015-07-12      ,2015-07-13      ,441              ,1007       ,1    ,1
2016-02-05      ,2016-02-06      ,442              ,1057       ,3    ,1
2014-04-08      ,2014-04-09      ,443              ,1036       ,2    ,1
2015-10-10      ,2015-10-11      ,444              ,1069       ,1    ,1
2015-06-27      ,2015-06-28      ,445              ,1061       ,1    ,1
2014-11-12      ,2014-11-13      ,446              ,1022       ,3    ,1
2016-07-19      ,2016-07-20      ,447              ,1021       ,3    ,1
2014-03-12      ,2014-03-13      ,448              ,1081       ,2    ,1
2015-03-06      ,2015-03-07      ,449              ,1055       ,1    ,1
2016-10-23      ,2016-10-24      ,450              ,1072       ,3    ,1
2015-08-31      ,2015-09-01      ,451              ,1022       ,3    ,1
2014-03-07      ,2014-03-08      ,452              ,1029       ,3    ,1
2016-11-20      ,2016-11-21      ,453              ,1051       ,1    ,1
2015-07-05      ,2015-07-06      ,454              ,1021       ,3    ,1
2015-04-04      ,2015-04-05      ,455              ,1064       ,2    ,1
2014-09-19      ,2014-09-20      ,456              ,1081       ,2    ,1
2014-11-19      ,2014-11-20      ,457              ,1027       ,1    ,1
2015-09-01      ,2015-09-02      ,458              ,1081       ,3    ,1
2015-06-24      ,2015-06-25      ,459              ,1040       ,1    ,1
2014-10-11      ,2014-10-12      ,460              ,1007       ,3    ,1
2015-12-22      ,2015-12-23      ,461              ,1036       ,2    ,1
2014-07-24      ,2014-07-25      ,462              ,1015       ,2    ,1
2014-11-28      ,2014-11-29      ,463              ,1018       ,1    ,1
2014-05-25      ,2014-05-26      ,464              ,1009       ,1    ,1
2016-07-11      ,2016-07-12      ,465              ,1082       ,3    ,1
2015-08-10      ,2015-08-11      ,466              ,1026       ,1    ,1
2016-12-12      ,2016-12-13      ,467              ,1061       ,3    ,1
2014-06-07      ,2014-06-08      ,468              ,1033       ,3    ,1
2016-12-01      ,2016-12-02      ,469              ,1063       ,1    ,1
2016-02-19      ,2016-02-20      ,470              ,1028       ,1    ,1
2015-06-18      ,2015-06-19      ,471              ,1017       ,2    ,1
2015-11-10      ,2015-11-11      ,472              ,1055       ,2    ,1
2016-02-15      ,2016-02-16      ,473              ,1028       ,1    ,1
2015-12-11      ,2015-12-12      ,474              ,1048       ,3    ,1
2015-08-23      ,2015-08-24      ,475              ,1035       ,1    ,1
2015-12-19      ,2015-12-20      ,476              ,1067       ,1    ,1
2016-05-19      ,2016-05-20      ,477              ,1029       ,1    ,1
2015-02-20      ,2015-02-21      ,478              ,1057       ,2    ,1
2015-12-15      ,2015-12-16      ,479              ,1034       ,3    ,1
2014-12-25      ,2014-12-26      ,480              ,1094       ,2    ,1
2015-04-15      ,2015-04-16      ,481              ,1018       ,3    ,1
2014-11-07      ,2014-11-08      ,482              ,1048       ,1    ,1
2014-11-23      ,2014-11-24      ,483              ,1060       ,3    ,1
2014-08-07      ,2014-08-08      ,484              ,1090       ,2    ,1
2015-11-17      ,2015-11-18      ,485              ,1030       ,2    ,1
2016-12-16      ,2016-12-17      ,486              ,1061       ,3    ,1
2016-03-08      ,2016-03-09      ,487              ,1027       ,2    ,1
2015-10-01      ,2015-10-02      ,488              ,1016       ,3    ,1
2016-06-24      ,2016-06-25      ,489              ,1068       ,1    ,1
2016-02-20      ,2016-02-21      ,490              ,1073       ,1    ,1
2014-06-27      ,2014-06-28      ,491              ,1049       ,3    ,1
2014-11-08      ,2014-11-09      ,492              ,1048       ,3    ,1
2015-09-13      ,2015-09-14      ,493              ,1064       ,3    ,1
2016-08-29      ,2016-08-30      ,494              ,1011       ,1    ,1
2014-10-08      ,2014-10-09      ,495              ,1041       ,3    ,1
2015-02-25      ,2015-02-26      ,496              ,1094       ,3    ,1
2016-09-21      ,2016-09-22      ,497              ,1001       ,3    ,1
2015-10-09      ,2015-10-10      ,498              ,1066       ,2    ,1
2016-07-24      ,2016-07-25      ,499              ,1014       ,3    ,1
2016-06-09      ,2016-06-10      ,500              ,1001       ,2    ,1
2015-08-06      ,2015-08-07      ,501              ,1080       ,2    ,1
2015-12-16      ,2015-12-17      ,502              ,1088       ,2    ,1
2015-04-08      ,2015-04-09      ,503              ,1004       ,1    ,1
2015-05-11      ,2015-05-12      ,504              ,1088       ,1    ,1
2015-09-04      ,2015-09-05      ,505              ,1019       ,1    ,1
2014-06-30      ,2014-07-01      ,506              ,1002       ,3    ,1
2014-11-01      ,2014-11-02      ,507              ,1068       ,2    ,1
2016-06-09      ,2016-06-10      ,508              ,1025       ,1    ,1
2015-07-04      ,2015-07-05      ,509              ,1055       ,2    ,1
2015-10-24      ,2015-10-25      ,510              ,1010       ,3    ,1
2016-12-11      ,2016-12-12      ,511              ,1030       ,1    ,1
2015-04-14      ,2015-04-15      ,512              ,1076       ,1    ,1
2015-09-27      ,2015-09-28      ,513              ,1068       ,2    ,1
2016-01-12      ,2016-01-13      ,514              ,1046       ,2    ,1
2016-03-17      ,2016-03-18      ,515              ,1090       ,2    ,1
2015-07-14      ,2015-07-15      ,516              ,1044       ,1    ,1
2014-06-28      ,2014-06-29      ,517              ,1076       ,2    ,1
2016-04-25      ,2016-04-26      ,518              ,1050       ,3    ,1
2014-10-23      ,2014-10-24      ,519              ,1090       ,3    ,1
2016-01-19      ,2016-01-20      ,520              ,1073       ,3    ,1
2015-12-30      ,2015-12-31      ,521              ,1031       ,3    ,1
2014-03-07      ,2014-03-08      ,522              ,1044       ,1    ,1
2014-06-07      ,2014-06-08      ,523              ,1062       ,2    ,1
2015-07-09      ,2015-07-10      ,524              ,1081       ,1    ,1
2016-09-19      ,2016-09-20      ,525              ,1018       ,1    ,1
2016-10-27      ,2016-10-28      ,526              ,1053       ,2    ,1
2015-06-08      ,2015-06-09      ,527              ,1035       ,2    ,1
2015-03-03      ,2015-03-04      ,528              ,1022       ,3    ,1
2015-09-27      ,2015-09-28      ,529              ,1040       ,2    ,1
2015-03-01      ,2015-03-02      ,530              ,1001       ,3    ,1
2016-03-03      ,2016-03-04      ,531              ,1048       ,2    ,1
2016-02-10      ,2016-02-11      ,532              ,1019       ,3    ,1
2014-10-04      ,2014-10-05      ,533              ,1009       ,3    ,1
2016-02-07      ,2016-02-08      ,534              ,1012       ,3    ,1
2014-12-30      ,2014-12-31      ,535              ,1088       ,3    ,1
2015-12-04      ,2015-12-05      ,536              ,1031       ,1    ,1
2014-11-10      ,2014-11-11      ,537              ,1069       ,3    ,1
2016-02-23      ,2016-02-24      ,538              ,1073       ,3    ,1
2014-12-25      ,2014-12-26      ,539              ,1048       ,2    ,1
2015-03-05      ,2015-03-06      ,540              ,1069       ,3    ,1
2016-10-22      ,2016-10-23      ,541              ,1028       ,2    ,1
2014-03-29      ,2014-03-30      ,542              ,1028       ,3    ,1
2015-12-03      ,2015-12-04      ,543              ,1020       ,2    ,1
2014-10-26      ,2014-10-27      ,544              ,1051       ,2    ,1
2016-07-07      ,2016-07-08      ,545              ,1044       ,1    ,1
2015-02-04      ,2015-02-05      ,546              ,1023       ,2    ,1
2016-11-05      ,2016-11-06      ,547              ,1092       ,2    ,1
2014-04-20      ,2014-04-21      ,548              ,1090       ,2    ,1
2016-04-25      ,2016-04-26      ,549              ,1016       ,3    ,1
2014-02-25      ,2014-02-26      ,550              ,1057       ,3    ,1
2014-08-03      ,2014-08-04      ,551              ,1030       ,2    ,1
2015-07-03      ,2015-07-04      ,552              ,1056       ,2    ,1
2016-07-08      ,2016-07-09      ,553              ,1078       ,2    ,1
2015-09-04      ,2015-09-05      ,554              ,1084       ,2    ,1
2016-06-16      ,2016-06-17      ,555              ,1003       ,1    ,1
2014-12-07      ,2014-12-08      ,556              ,1062       ,3    ,1
2015-06-20      ,2015-06-21      ,557              ,1030       ,1    ,1
2016-01-13      ,2016-01-14      ,558              ,1080       ,1    ,1
2014-01-22      ,2014-01-23      ,559              ,1046       ,3    ,1
2016-01-19      ,2016-01-20      ,560              ,1092       ,2    ,1
2014-05-04      ,2014-05-05      ,561              ,1075       ,1    ,1
2015-12-09      ,2015-12-10      ,562              ,1096       ,3    ,1
2014-07-16      ,2014-07-17      ,563              ,1004       ,1    ,1
2016-03-28      ,2016-03-29      ,564              ,1045       ,3    ,1
2016-04-19      ,2016-04-20      ,565              ,1082       ,1    ,1
2014-05-01      ,2014-05-02      ,566              ,1070       ,2    ,1
2015-11-15      ,2015-11-16      ,567              ,1014       ,3    ,1
2014-11-18      ,2014-11-19      ,568              ,1062       ,1    ,1
2016-09-05      ,2016-09-06      ,569              ,1005       ,2    ,1
2015-09-15      ,2015-09-16      ,570              ,1028       ,1    ,1
2016-12-11      ,2016-12-12      ,571              ,1040       ,2    ,1
2015-06-25      ,2015-06-26      ,572              ,1064       ,3    ,1
2014-08-22      ,2014-08-23      ,573              ,1094       ,2    ,1
2014-10-29      ,2014-10-30      ,574              ,1009       ,1    ,1
2015-04-12      ,2015-04-13      ,575              ,1099       ,3    ,1
2016-12-31      ,2017-01-01      ,576              ,1019       ,3    ,1
2016-08-30      ,2016-08-31      ,577              ,1020       ,2    ,1
2015-07-12      ,2015-07-13      ,578              ,1098       ,2    ,1
2014-10-13      ,2014-10-14      ,579              ,1049       ,3    ,1
2016-12-13      ,2016-12-14      ,580              ,1092       ,1    ,1
2014-04-10      ,2014-04-11      ,581              ,1009       ,1    ,1
2015-10-19      ,2015-10-20      ,582              ,1040       ,2    ,1
2015-05-27      ,2015-05-28      ,583              ,1079       ,1    ,1
2015-04-17      ,2015-04-18      ,584              ,1064       ,3    ,1
2015-06-24      ,2015-06-25      ,585              ,1074       ,1    ,1
2014-05-22      ,2014-05-23      ,586              ,1096       ,1    ,1
2016-06-07      ,2016-06-08      ,587              ,1025       ,3    ,1
2014-08-25      ,2014-08-26      ,588              ,1004       ,2    ,1
2015-01-01      ,2015-01-02      ,589              ,1029       ,1    ,1
2015-12-18      ,2015-12-19      ,590              ,1047       ,3    ,1
2015-05-12      ,2015-05-13      ,591              ,1070       ,1    ,1
2015-11-24      ,2015-11-25      ,592              ,1071       ,1    ,1
2014-07-29      ,2014-07-30      ,593              ,1022       ,1    ,1
2014-03-07      ,2014-03-08      ,594              ,1094       ,3    ,1
2015-04-23      ,2015-04-24      ,595              ,1017       ,3    ,1
2014-09-05      ,2014-09-06      ,596              ,1086       ,3    ,1
2015-07-11      ,2015-07-12      ,597              ,1072       ,3    ,1
2014-08-03      ,2014-08-04      ,598              ,1035       ,1    ,1
2016-07-20      ,2016-07-21      ,599              ,1003       ,2    ,1
2014-01-18      ,2014-01-19      ,600              ,1086       ,2    ,1
2014-05-23      ,2014-05-24      ,601              ,1032       ,1    ,1
2016-05-18      ,2016-05-19      ,602              ,1051       ,3    ,1
2014-11-12      ,2014-11-13      ,603              ,1041       ,1    ,1
2015-07-31      ,2015-08-01      ,604              ,1083       ,2    ,1
2016-09-27      ,2016-09-28      ,605              ,1069       ,3    ,1
2015-08-31      ,2015-09-01      ,606              ,1091       ,2    ,1
2015-07-20      ,2015-07-21      ,607              ,1073       ,2    ,1
2015-07-26      ,2015-07-27      ,608              ,1060       ,2    ,1
2016-08-23      ,2016-08-24      ,609              ,1072       ,1    ,1
2015-01-22      ,2015-01-23      ,610              ,1077       ,2    ,1
2014-12-13      ,2014-12-14      ,611              ,1006       ,3    ,1
2014-09-17      ,2014-09-18      ,612              ,1037       ,3    ,1
2014-06-05      ,2014-06-06      ,613              ,1015       ,2    ,1
2016-02-16      ,2016-02-17      ,614              ,1035       ,1    ,1
2015-01-07      ,2015-01-08      ,615              ,1013       ,1    ,1
2016-12-05      ,2016-12-06      ,616              ,1062       ,3    ,1
2015-11-01      ,2015-11-02      ,617              ,1043       ,2    ,1
2015-04-30      ,2015-05-01      ,618              ,1020       ,2    ,1
2015-09-09      ,2015-09-10      ,619              ,1095       ,1    ,1
2016-08-30      ,2016-08-31      ,620              ,1081       ,1    ,1
2014-10-26      ,2014-10-27      ,621              ,1007       ,1    ,1
2014-12-20      ,2014-12-21      ,622              ,1091       ,1    ,1
2017-01-04      ,2017-01-05      ,623              ,1005       ,2    ,1
2016-07-15      ,2016-07-16      ,624              ,1038       ,1    ,1
2014-03-05      ,2014-03-06      ,625              ,1062       ,1    ,1
2015-03-12      ,2015-03-13      ,626              ,1076       ,2    ,1
2016-10-04      ,2016-10-05      ,627              ,1055       ,3    ,1
2016-06-23      ,2016-06-24      ,628              ,1025       ,3    ,1
2016-06-23      ,2016-06-24      ,629              ,1054       ,1    ,1
2015-12-19      ,2015-12-20      ,630              ,1015       ,2    ,1
2016-12-12      ,2016-12-13      ,631              ,1088       ,3    ,1
2015-12-27      ,2015-12-28      ,632              ,1051       ,3    ,1
2016-04-24      ,2016-04-25      ,633              ,1023       ,1    ,1
2016-01-08      ,2016-01-09      ,634              ,1008       ,2    ,1
2016-09-15      ,2016-09-16      ,635              ,1067       ,2    ,1
2017-01-19      ,2017-01-20      ,636              ,1039       ,2    ,1
2015-10-26      ,2015-10-27      ,637              ,1069       ,1    ,1
2014-02-26      ,2014-02-27      ,638              ,1058       ,3    ,1
2016-06-26      ,2016-06-27      ,639              ,1000       ,1    ,1
2016-05-09      ,2016-05-10      ,640              ,1062       ,3    ,1
2014-08-07      ,2014-08-08      ,641              ,1075       ,2    ,1
2014-05-30      ,2014-05-31      ,642              ,1059       ,2    ,1
2016-01-13      ,2016-01-14      ,643              ,1097       ,3    ,1
2016-05-08      ,2016-05-09      ,644              ,1088       ,1    ,1
2015-09-04      ,2015-09-05      ,645              ,1027       ,3    ,1
2015-07-11      ,2015-07-12      ,646              ,1062       ,3    ,1
2015-02-09      ,2015-02-10      ,647              ,1077       ,1    ,1
2016-08-20      ,2016-08-21      ,648              ,1080       ,2    ,1
2014-02-08      ,2014-02-09      ,649              ,1003       ,2    ,1
2014-08-08      ,2014-08-09      ,650              ,1080       ,2    ,1
2016-02-27      ,2016-02-28      ,651              ,1099       ,3    ,1
2014-09-29      ,2014-09-30      ,652              ,1041       ,2    ,1
2014-05-17      ,2014-05-18      ,653              ,1050       ,3    ,1
2014-02-24      ,2014-02-25      ,654              ,1010       ,1    ,1
2015-05-16      ,2015-05-17      ,655              ,1038       ,2    ,1
2016-07-16      ,2016-07-17      ,656              ,1075       ,1    ,1
2015-01-22      ,2015-01-23      ,657              ,1054       ,2    ,1
2015-12-24      ,2015-12-25      ,658              ,1050       ,1    ,1
2017-03-04      ,2017-03-05      ,659              ,1021       ,1    ,1
2016-11-02      ,2016-11-03      ,660              ,1005       ,2    ,1
2014-12-11      ,2014-12-12      ,661              ,1018       ,2    ,1
2015-04-16      ,2015-04-17      ,662              ,1068       ,2    ,1
2015-02-23      ,2015-02-24      ,663              ,1010       ,2    ,1
2015-04-29      ,2015-04-30      ,664              ,1086       ,1    ,1
2016-02-13      ,2016-02-14      ,665              ,1059       ,3    ,1
2014-12-10      ,2014-12-11      ,666              ,1077       ,3    ,1
2016-10-28      ,2016-10-29      ,667              ,1026       ,3    ,1
2014-07-17      ,2014-07-18      ,668              ,1051       ,1    ,1
2014-12-13      ,2014-12-14      ,669              ,1027       ,1    ,1
2016-06-23      ,2016-06-24      ,670              ,1096       ,3    ,1
2015-06-17      ,2015-06-18      ,671              ,1039       ,1    ,1
2016-02-22      ,2016-02-23      ,672              ,1058       ,2    ,1
2016-02-06      ,2016-02-07      ,673              ,1048       ,2    ,1
2014-05-07      ,2014-05-08      ,674              ,1035       ,2    ,1
2014-05-23      ,2014-05-24      ,675              ,1042       ,3    ,1
2015-04-30      ,2015-05-01      ,676              ,1005       ,1    ,1
2015-02-11      ,2015-02-12      ,677              ,1047       ,1    ,1
2014-05-15      ,2014-05-16      ,678              ,1021       ,1    ,1
2016-05-14      ,2016-05-15      ,679              ,1085       ,3    ,1
2014-10-06      ,2014-10-07      ,680              ,1083       ,3    ,1
2015-06-30      ,2015-07-01      ,681              ,1069       ,3    ,1
2016-06-15      ,2016-06-16      ,682              ,1042       ,3    ,1
2015-05-08      ,2015-05-09      ,683              ,1095       ,2    ,1
2016-12-08      ,2016-12-09      ,684              ,1082       ,3    ,1
2014-12-14      ,2014-12-15      ,685              ,1055       ,2    ,1
2016-03-17      ,2016-03-18      ,686              ,1026       ,3    ,1
2016-05-23      ,2016-05-24      ,687              ,1059       ,2    ,1
2014-06-29      ,2014-06-30      ,688              ,1063       ,3    ,1
2015-12-06      ,2015-12-07      ,689              ,1051       ,3    ,1
2015-11-17      ,2015-11-18      ,690              ,1087       ,2    ,1
2015-10-20      ,2015-10-21      ,691              ,1067       ,2    ,1
2014-06-21      ,2014-06-22      ,692              ,1074       ,3    ,1
2016-02-15      ,2016-02-16      ,693              ,1078       ,2    ,1
2014-05-10      ,2014-05-11      ,694              ,1043       ,3    ,1
2015-02-08      ,2015-02-09      ,695              ,1089       ,1    ,1
2015-11-25      ,2015-11-26      ,696              ,1064       ,1    ,1
2015-12-06      ,2015-12-07      ,697              ,1012       ,3    ,1
2014-06-12      ,2014-06-13      ,698              ,1065       ,2    ,1
2016-12-18      ,2016-12-19      ,699              ,1069       ,1    ,1
2015-06-21      ,2015-06-22      ,700              ,1061       ,2    ,1
2016-07-01      ,2016-07-02      ,701              ,1032       ,1    ,1
2014-03-27      ,2014-03-28      ,702              ,1038       ,1    ,1
2014-09-15      ,2014-09-16      ,703              ,1016       ,3    ,1
2015-04-10      ,2015-04-11      ,704              ,1052       ,1    ,1
2016-09-14      ,2016-09-15      ,705              ,1047       ,1    ,1
2014-12-23      ,2014-12-24      ,706              ,1021       ,1    ,1
2014-11-27      ,2014-11-28      ,707              ,1055       ,1    ,1
2014-10-11      ,2014-10-12      ,708              ,1062       ,1    ,1
2015-06-17      ,2015-06-18      ,709              ,1001       ,3    ,1
2015-06-30      ,2015-07-01      ,710              ,1042       ,2    ,1
2015-10-26      ,2015-10-27      ,711              ,1016       ,3    ,1
2016-08-17      ,2016-08-18      ,712              ,1058       ,1    ,1
2015-10-14      ,2015-10-15      ,713              ,1089       ,1    ,1
2014-05-07      ,2014-05-08      ,714              ,1050       ,1    ,1
2014-12-12      ,2014-12-13      ,715              ,1030       ,3    ,1
2015-06-30      ,2015-07-01      ,716              ,1048       ,1    ,1
2016-04-02      ,2016-04-03      ,717              ,1019       ,1    ,1
2016-09-21      ,2016-09-22      ,718              ,1085       ,3    ,1
2016-04-21      ,2016-04-22      ,719              ,1068       ,2    ,1
2016-06-13      ,2016-06-14      ,720              ,1024       ,1    ,1
2015-10-11      ,2015-10-12      ,721              ,1028       ,2    ,1
2014-12-10      ,2014-12-11      ,722              ,1076       ,1    ,1
2015-09-17      ,2015-09-18      ,723              ,1068       ,2    ,1
2015-03-12      ,2015-03-13      ,724              ,1009       ,3    ,1
2015-04-29      ,2015-04-30      ,725              ,1062       ,3    ,1
2016-10-11      ,2016-10-12      ,726              ,1044       ,1    ,1
2015-10-04      ,2015-10-05      ,727              ,1048       ,2    ,1
2015-12-11      ,2015-12-12      ,728              ,1069       ,2    ,1
2015-08-18      ,2015-08-19      ,729              ,1093       ,3    ,1
2015-03-24      ,2015-03-25      ,730              ,1041       ,1    ,1
2015-09-22      ,2015-09-23      ,731              ,1048       ,1    ,1
2014-08-10      ,2014-08-11      ,732              ,1088       ,1    ,1
2016-11-11      ,2016-11-12      ,733              ,1029       ,1    ,1
2016-03-03      ,2016-03-04      ,734              ,1047       ,2    ,1
2015-07-29      ,2015-07-30      ,735              ,1081       ,2    ,1
2016-02-12      ,2016-02-13      ,736              ,1058       ,1    ,1
2016-07-08      ,2016-07-09      ,737              ,1023       ,1    ,1
2016-08-20      ,2016-08-21      ,738              ,1072       ,3    ,1
2015-01-30      ,2015-01-31      ,739              ,1086       ,1    ,1
2016-12-12      ,2016-12-13      ,740              ,1003       ,3    ,1
2015-09-11      ,2015-09-12      ,741              ,1098       ,3    ,1
2015-08-05      ,2015-08-06      ,742              ,1085       ,1    ,1
2015-09-26      ,2015-09-27      ,743              ,1022       ,1    ,1
2015-01-17      ,2015-01-18      ,744              ,1068       ,2    ,1
2014-08-31      ,2014-09-01      ,745              ,1064       ,3    ,1
2016-03-13      ,2016-03-14      ,746              ,1020       ,3    ,1
2014-05-20      ,2014-05-21      ,747              ,1011       ,2    ,1
2014-05-06      ,2014-05-07      ,748              ,1028       ,2    ,1
2016-01-25      ,2016-01-26      ,749              ,1017       ,2    ,1
2014-03-22      ,2014-03-23      ,750              ,1091       ,3    ,1
2016-05-01      ,2016-05-02      ,751              ,1053       ,3    ,1
2016-10-08      ,2016-10-09      ,752              ,1017       ,3    ,1
2015-03-27      ,2015-03-28      ,753              ,1067       ,3    ,1
2016-10-11      ,2016-10-12      ,754              ,1043       ,3    ,1
2014-06-16      ,2014-06-17      ,755              ,1095       ,3    ,1
2016-06-29      ,2016-06-30      ,756              ,1062       ,2    ,1
2014-12-03      ,2014-12-04      ,757              ,1045       ,2    ,1
2016-04-23      ,2016-04-24      ,758              ,1011       ,1    ,1
2016-04-28      ,2016-04-29      ,759              ,1065       ,3    ,1
2014-12-18      ,2014-12-19      ,760              ,1058       ,3    ,1
2016-12-07      ,2016-12-08      ,761              ,1061       ,1    ,1
2015-01-13      ,2015-01-14      ,762              ,1085       ,2    ,1
2015-11-08      ,2015-11-09      ,763              ,1036       ,2    ,1
2014-10-14      ,2014-10-15      ,764              ,1006       ,2    ,1
2014-03-05      ,2014-03-06      ,765              ,1030       ,2    ,1
2014-05-27      ,2014-05-28      ,766              ,1063       ,1    ,1
2015-09-28      ,2015-09-29      ,767              ,1063       ,1    ,1
2015-01-25      ,2015-01-26      ,768              ,1035       ,1    ,1
2014-12-16      ,2014-12-17      ,769              ,1032       ,1    ,1
2014-04-11      ,2014-04-12      ,770              ,1007       ,1    ,1
2014-06-07      ,2014-06-08      ,771              ,1049       ,1    ,1
2014-11-22      ,2014-11-23      ,772              ,1043       ,1    ,1
2016-05-31      ,2016-06-01      ,773              ,1015       ,3    ,1
2016-07-05      ,2016-07-06      ,774              ,1089       ,3    ,1
2015-12-19      ,2015-12-20      ,775              ,1070       ,1    ,1
2016-12-12      ,2016-12-13      ,776              ,1026       ,2    ,1
2014-12-16      ,2014-12-17      ,777              ,1007       ,2    ,1
2017-02-18      ,2017-02-19      ,778              ,1069       ,3    ,1
2015-03-25      ,2015-03-26      ,779              ,1080       ,2    ,1
2015-07-12      ,2015-07-13      ,780              ,1032       ,3    ,1
2014-05-10      ,2014-05-11      ,781              ,1010       ,1    ,1
2015-11-04      ,2015-11-05      ,782              ,1062       ,2    ,1
2016-02-12      ,2016-02-13      ,783              ,1048       ,3    ,1
2016-02-09      ,2016-02-10      ,784              ,1026       ,3    ,1
2015-07-21      ,2015-07-22      ,785              ,1062       ,2    ,1
2015-02-05      ,2015-02-06      ,786              ,1052       ,3    ,1
2016-02-29      ,2016-03-01      ,787              ,1070       ,3    ,1
2016-03-10      ,2016-03-11      ,788              ,1025       ,3    ,1
2016-11-04      ,2016-11-05      ,789              ,1099       ,2    ,1
2015-07-31      ,2015-08-01      ,790              ,1030       ,3    ,1
2015-08-05      ,2015-08-06      ,791              ,1025       ,1    ,1
2014-05-31      ,2014-06-01      ,792              ,1030       ,2    ,1
2014-12-20      ,2014-12-21      ,793              ,1004       ,1    ,1
2016-02-06      ,2016-02-07      ,794              ,1034       ,1    ,1
2015-11-24      ,2015-11-25      ,795              ,1077       ,2    ,1
2016-03-06      ,2016-03-07      ,796              ,1007       ,1    ,1
2015-07-25      ,2015-07-26      ,797              ,1073       ,3    ,1
2014-06-27      ,2014-06-28      ,798              ,1017       ,1    ,1
2014-11-22      ,2014-11-23      ,799              ,1073       ,2    ,1
2015-11-03      ,2015-11-04      ,800              ,1086       ,1    ,1
2016-03-31      ,2016-04-01      ,801              ,1039       ,2    ,1
2015-05-23      ,2015-05-24      ,802              ,1011       ,2    ,1
2015-06-16      ,2015-06-17      ,803              ,1049       ,2    ,1
2015-02-23      ,2015-02-24      ,804              ,1080       ,3    ,1
2015-12-25      ,2015-12-26      ,805              ,1071       ,3    ,1
2016-06-11      ,2016-06-12      ,806              ,1049       ,2    ,1
2016-02-14      ,2016-02-15      ,807              ,1006       ,1    ,1
2014-02-03      ,2014-02-04      ,808              ,1016       ,1    ,1
2015-03-29      ,2015-03-30      ,809              ,1004       ,3    ,1
2015-05-09      ,2015-05-10      ,810              ,1039       ,2    ,1
2016-02-23      ,2016-02-24      ,811              ,1088       ,3    ,1
2014-02-12      ,2014-02-13      ,812              ,1072       ,1    ,1
2016-05-28      ,2016-05-29      ,813              ,1036       ,2    ,1
2015-11-28      ,2015-11-29      ,814              ,1087       ,1    ,1
2016-01-27      ,2016-01-28      ,815              ,1010       ,1    ,1
2016-01-23      ,2016-01-24      ,816              ,1013       ,3    ,1
2015-07-21      ,2015-07-22      ,817              ,1059       ,3    ,1
2016-02-14      ,2016-02-15      ,818              ,1066       ,2    ,1
2016-11-28      ,2016-11-29      ,819              ,1062       ,2    ,1
2016-10-06      ,2016-10-07      ,820              ,1063       ,3    ,1
2016-08-15      ,2016-08-16      ,821              ,1086       ,3    ,1
2016-12-22      ,2016-12-23      ,822              ,1021       ,2    ,1
2015-05-15      ,2015-05-16      ,823              ,1067       ,2    ,1
2014-12-21      ,2014-12-22      ,824              ,1061       ,2    ,1
2014-05-12      ,2014-05-13      ,825              ,1032       ,3    ,1
2016-01-15      ,2016-01-16      ,826              ,1052       ,1    ,1
2015-03-28      ,2015-03-29      ,827              ,1019       ,3    ,1
2016-11-14      ,2016-11-15      ,828              ,1042       ,3    ,1
2015-09-20      ,2015-09-21      ,829              ,1034       ,2    ,1
2014-10-11      ,2014-10-12      ,830              ,1099       ,2    ,1
2015-08-17      ,2015-08-18      ,831              ,1061       ,2    ,1
2015-04-05      ,2015-04-06      ,832              ,1037       ,1    ,1
2016-08-24      ,2016-08-25      ,833              ,1090       ,3    ,1
2015-08-31      ,2015-09-01      ,834              ,1084       ,1    ,1
2014-11-16      ,2014-11-17      ,835              ,1043       ,3    ,1
2015-08-04      ,2015-08-05      ,836              ,1038       ,2    ,1
2016-08-26      ,2016-08-27      ,837              ,1039       ,3    ,1
2016-05-23      ,2016-05-24      ,838              ,1024       ,2    ,1
2016-02-07      ,2016-02-08      ,839              ,1072       ,2    ,1
2014-04-20      ,2014-04-21      ,840              ,1094       ,3    ,1
2016-12-23      ,2016-12-24      ,841              ,1010       ,3    ,1
2015-08-01      ,2015-08-02      ,842              ,1091       ,2    ,1
2014-07-30      ,2014-07-31      ,843              ,1074       ,2    ,1
2016-05-24      ,2016-05-25      ,844              ,1007       ,2    ,1
2014-04-09      ,2014-04-10      ,845              ,1002       ,3    ,1
